length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
84,-38.79999923706055,1,8,64.28571428571429,75.0,29,6,6,2,6,0,24,1,0,0,1,2,0,0,0,3,3,0,0,2,1,0,2,2,2,0,0,0,0,0,0,2,2,0,1,3,1,0,0
77,-28.0,1,4,38.961038961038966,0.0,29,6,6,2,5,1,24,5,0,2,2,0,0,1,0,2,0,0,0,4,0,0,0,2,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0
74,-25.799999237060547,1,6,40.54054054054054,16.666666666666664,26,9,4,2,2,2,20,4,0,0,1,0,0,2,0,1,0,4,0,1,0,1,0,5,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0
72,-25.200000762939453,1,6,40.27777777777778,50.0,25,13,4,9,2,2,22,3,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2,4,2,0,0,0,0,1,1,3,1,0,0,1,0,1,0
74,-34.099998474121094,1,3,45.94594594594595,33.33333333333333,30,21,2,9,1,1,24,3,0,0,0,1,0,0,0,6,0,0,0,2,0,0,1,5,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0
81,-37.400001525878906,1,5,51.85185185185185,40.0,31,21,3,1,0,3,25,4,0,0,0,1,0,0,0,4,1,0,0,1,0,1,3,7,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0
84,-31.600000381469727,1,3,47.61904761904761,100.0,32,13,7,2,5,2,27,2,0,0,0,1,1,0,0,4,2,0,1,1,0,0,0,4,2,0,0,0,1,1,0,3,1,0,0,3,0,0,1
79,-36.70000076293945,1,4,56.9620253164557,50.0,29,16,6,2,3,3,21,3,0,0,1,0,0,0,2,3,1,0,1,0,1,0,0,3,1,0,1,1,0,1,0,4,1,0,0,1,0,0,1
76,-27.600000381469727,1,5,44.73684210526316,20.0,27,11,6,1,2,4,23,4,1,2,0,0,1,0,0,2,0,0,1,0,0,1,0,3,2,0,0,1,0,0,1,3,2,0,0,0,0,0,1
85,-37.20000076293945,1,4,50.588235294117645,0.0,32,8,7,1,4,3,25,4,0,0,1,1,0,1,0,3,1,0,1,1,0,0,1,4,0,0,1,1,0,0,1,2,0,0,3,2,0,0,0
83,-30.5,1,13,42.168674698795186,30.76923076923077,24,10,3,7,3,0,21,1,1,1,0,1,0,0,3,4,2,0,0,0,0,0,2,1,0,1,0,0,0,0,3,5,1,0,0,0,1,0,0
87,-48.70000076293945,1,8,56.32183908045977,37.5,32,10,5,2,3,2,28,1,0,0,1,0,0,0,1,4,0,1,2,1,0,1,1,3,1,0,1,0,0,1,0,7,0,1,1,0,0,1,0
82,-38.70000076293945,1,7,42.68292682926829,28.57142857142857,33,17,4,3,2,2,28,3,1,1,0,0,0,0,2,4,2,1,0,1,0,0,0,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
87,-38.5,1,13,43.67816091954023,30.76923076923077,34,17,4,2,0,4,29,3,1,0,1,0,0,0,1,2,1,0,0,0,0,0,1,9,0,0,1,0,0,0,1,4,1,0,0,2,0,0,1
96,-41.0,1,15,45.83333333333333,33.33333333333333,29,10,4,3,3,1,21,2,1,1,0,0,0,0,4,5,0,0,0,2,0,2,1,5,1,0,1,1,0,0,3,1,1,0,1,0,0,0,0
90,-38.79999923706055,1,11,50.0,36.36363636363637,28,8,4,3,2,2,18,2,0,1,0,1,0,1,2,4,1,0,0,1,0,0,2,3,0,0,0,0,0,1,2,4,0,0,2,2,0,0,1
107,-43.79999923706055,1,4,48.598130841121495,0.0,40,10,6,4,2,4,30,4,1,1,0,1,0,1,0,4,0,0,0,2,0,1,1,7,3,1,0,3,0,1,1,3,0,0,0,0,0,0,0
87,-34.5,1,9,44.827586206896555,33.33333333333333,31,11,4,2,1,3,21,2,0,1,0,0,0,1,1,4,1,0,0,0,0,0,0,8,0,0,0,2,0,0,2,2,2,0,0,0,0,2,1
72,-41.20000076293945,1,4,34.72222222222222,25.0,32,24,2,1,2,0,30,5,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,6,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0
112,-53.599998474121094,1,6,65.17857142857143,50.0,41,9,9,1,4,5,30,2,0,3,2,0,0,0,0,8,2,0,2,1,0,0,2,1,1,0,1,2,0,0,0,7,1,0,0,0,0,0,2
80,-27.899999618530273,1,11,51.24999999999999,27.27272727272727,25,6,5,2,3,2,19,3,1,0,1,1,0,0,2,1,1,0,0,1,0,0,0,2,2,0,1,1,0,1,2,2,0,0,3,0,0,0,1
70,-29.399999618530273,1,4,67.14285714285714,50.0,25,9,5,3,4,1,16,2,0,1,0,1,0,1,0,4,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3,2,0,0,1,1,1,0
85,-36.0,1,8,34.11764705882353,25.0,33,21,3,2,2,1,29,6,0,0,1,0,0,1,1,4,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1
76,-28.799999237060547,1,5,39.473684210526315,60.0,31,16,3,2,1,2,27,6,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,5,1,0,0,1,0,0,0,2,0,0,0,2,0,0,1
76,-25.399999618530273,1,6,48.68421052631579,50.0,24,6,5,1,4,1,18,3,0,0,0,1,0,0,0,3,1,1,1,0,0,0,1,0,2,0,1,2,0,0,2,2,0,0,1,2,0,1,1
83,-47.0,1,12,49.39759036144578,33.33333333333333,29,18,2,5,1,1,25,3,0,1,1,0,0,0,3,6,0,0,0,1,0,0,1,4,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1
80,-39.099998474121094,1,10,48.75,50.0,29,10,4,1,2,2,24,3,1,0,0,1,0,0,0,6,1,0,0,1,0,0,1,1,2,0,0,0,0,0,3,4,1,0,0,1,0,0,0
